,Date,Brand Alias,Ad group alias,ASIN/SKU Alias,Marketplace,Impressions,Clicks,Spend,Sales,Orders,Units,Advertised Units sold,Other SKU units sold,Advertised SKU Sales,Other SKU sales
105,2021-10-19,Brand 2,Brand 2 Ad Group 3,ASIN515,Walmart,16441,33,23.69,408.95,4,5,4,1,323.96,84.99
106,2021-10-19,Brand 2,Brand 2 Ad Group 3,ASIN520,Walmart,15490,18,13.34,52.99,1,1,1,0,52.99,0.0
107,2021-10-19,Brand 2,Brand 2 Ad Group 5,ASIN618,Walmart,188,1,0.86,0.0,0,0,0,0,0.0,0.0
108,2021-10-20,Brand 1,Brand 1 Ad Group 10,ASIN414,Walmart,70,2,0.61,0.0,0,0,0,0,0.0,0.0
109,2021-10-20,Brand 1,Brand 1 Ad Group 11,ASIN385,Walmart,144318,533,368.53,,28,30,13,17,,
110,2021-10-20,Brand 1,Brand 1 Ad Group 11,ASIN391,Walmart,9455,70,15.79,49.99,1,1,0,1,0.0,49.99
111,2021-10-20,Brand 1,Brand 1 Ad Group 13,ASIN377,Walmart,189,4,0.94,0.0,0,0,0,0,0.0,0.0
112,2021-10-20,Brand 1,Brand 1 Ad Group 13,ASIN399,Walmart,1360,4,1.21,0.0,0,0,0,0,0.0,0.0
113,2021-10-20,Brand 1,Brand 1 Ad Group 13,ASIN405,Walmart,527,3,0.62,0.0,0,0,0,0,0.0,0.0
114,2021-10-20,Brand 1,Brand 1 Ad Group 13,ASIN410,Walmart,2666,19,7.48,150.95,5,5,3,2,83.97,66.98
115,2021-10-20,Brand 1,Brand 1 Ad Group 2,ASIN379,Walmart,0,0,0.0,0.0,0,0,0,0,0.0,0.0
116,2021-10-20,Brand 1,Brand 1 Ad Group 2,ASIN386,Walmart,4986,50,17.15,164.97,3,3,1,2,54.99,109.98
117,2021-10-20,Brand 1,Brand 1 Ad Group 2,ASIN391,Walmart,0,0,0.0,0.0,0,0,0,0,0.0,0.0
118,2021-10-20,Brand 1,Brand 1 Ad Group 4,ASIN395,Walmart,0,0,0.0,0.0,0,0,0,0,0.0,0.0
119,2021-10-20,Brand 1,Brand 1 Ad Group 4,ASIN400,Walmart,6221,24,3.07,0.0,0,0,0,0,0.0,0.0
120,2021-10-20,Brand 1,Brand 1 Ad Group 4,ASIN404,Walmart,16650,29,8.02,54.99,1,1,1,0,54.99,0.0
121,2021-10-20,Brand 1,Brand 1 Ad Group 5,ASIN397,Walmart,27,4,2.95,0.0,0,0,0,0,0.0,0.0
122,2021-10-20,Brand 1,Brand 1 Ad Group 7,ASIN401,Walmart,499,7,2.26,34.99,1,1,1,0,34.99,0.0
123,2021-10-20,Brand 1,Brand 1 Ad Group 8,ASIN407,Walmart,45,0,0.0,0.0,0,0,0,0,0.0,0.0
124,2021-10-20,Brand 2,Brand 2 Ad Group 1,ASIN444,Walmart,0,0,0.0,0.0,0,0,0,0,0.0,0.0
125,2021-10-20,Brand 2,Brand 2 Ad Group 1,ASIN447,Walmart,12637,50,33.94,178.98,2,2,1,1,84.99,93.99
126,2021-10-20,Brand 2,Brand 2 Ad Group 1,ASIN450,Walmart,0,0,0.0,0.0,0,0,0,0,0.0,0.0
127,2021-10-20,Brand 2,Brand 2 Ad Group 1,ASIN455,Walmart,0,0,0.0,0.0,0,0,0,0,0.0,0.0
128,2021-10-20,Brand 2,Brand 2 Ad Group 1,ASIN459,Walmart,0,0,0.0,0.0,0,0,0,0,0.0,0.0
129,2021-10-20,Brand 2,Brand 2 Ad Group 1,ASIN464,Walmart,9348,20,14.35,0.0,0,0,0,0,0.0,0.0
130,2021-10-20,Brand 2,Brand 2 Ad Group 1,ASIN469,Walmart,17404,49,29.87,795.95,5,5,2,3,315.98,479.97
131,2021-10-20,Brand 2,Brand 2 Ad Group 1,ASIN473,Walmart,41848,277,190.09,730.28,22,24,14,10,377.86,352.42
132,2021-10-20,Brand 2,Brand 2 Ad Group 2,ASIN477,Walmart,4924,13,7.61,134.99,1,1,0,1,0.0,134.99
133,2021-10-20,Brand 2,Brand 2 Ad Group 2,ASIN480,Walmart,292443,433,369.71,863.82,8,8,5,3,549.95,313.87
134,2021-10-20,Brand 2,Brand 2 Ad Group 2,ASIN484,Walmart,51649,144,115.4,,12,16,1,15,109.99,
135,2021-10-20,Brand 2,Brand 2 Ad Group 2,ASIN488,Walmart,11460,38,31.52,233.98,1,2,2,0,233.98,0.0
136,2021-10-20,Brand 2,Brand 2 Ad Group 2,ASIN492,Walmart,1238,7,3.74,71.98,1,1,1,0,71.98,0.0
137,2021-10-20,Brand 2,Brand 2 Ad Group 2,ASIN496,Walmart,73016,107,76.48,300.96,4,4,1,3,189.99,110.97
138,2021-10-20,Brand 2,Brand 2 Ad Group 2,ASIN502,Walmart,5447,18,13.99,985.92,6,8,0,8,0.0,985.92
139,2021-10-20,Brand 2,Brand 2 Ad Group 2,ASIN507,Walmart,5341,15,12.46,0.0,0,0,0,0,0.0,0.0
140,2021-10-20,Brand 2,Brand 2 Ad Group 3,ASIN511,Walmart,27537,86,46.26,575.79,7,7,4,3,355.96,219.83
141,2021-10-20,Brand 2,Brand 2 Ad Group 3,ASIN515,Walmart,10820,23,17.06,161.98,2,2,2,0,161.98,0.0
142,2021-10-20,Brand 2,Brand 2 Ad Group 3,ASIN520,Walmart,24334,33,19.33,0.0,0,0,0,0,0.0,0.0
143,2021-10-20,Brand 2,Brand 2 Ad Group 5,ASIN618,Walmart,7470,11,9.89,0.0,0,0,0,0,0.0,0.0
144,2021-10-21,Brand 1,Brand 1 Ad Group 10,ASIN414,Walmart,59,2,0.62,0.0,0,0,0,0,0.0,0.0
145,2021-10-21,Brand 1,Brand 1 Ad Group 11,ASIN385,Walmart,0,0,0.0,0.0,0,0,0,0,0.0,0.0
146,2021-10-21,Brand 1,Brand 1 Ad Group 11,ASIN391,Walmart,9512,68,14.32,139.97,3,3,0,3,0.0,139.97
147,2021-10-21,Brand 1,Brand 1 Ad Group 13,ASIN395,Walmart,356,0,0.0,0.0,0,0,0,0,0.0,0.0
148,2021-10-21,Brand 1,Brand 1 Ad Group 13,ASIN399,Walmart,145,2,0.62,0.0,0,0,0,0,0.0,0.0
149,2021-10-21,Brand 1,Brand 1 Ad Group 13,ASIN405,Walmart,352,1,0.23,0.0,0,0,0,0,0.0,0.0
150,2021-10-21,Brand 1,Brand 1 Ad Group 13,ASIN410,Walmart,2637,17,10.32,115.96,4,4,3,1,83.97,31.99
151,2021-10-21,Brand 1,Brand 1 Ad Group 2,ASIN380,Walmart,5299,121,53.33,761.92,18,18,11,7,412.89,349.03
152,2021-10-21,Brand 1,Brand 1 Ad Group 2,ASIN386,Walmart,2341,44,16.9,204.96,4,4,3,1,164.97,39.99
153,2021-10-21,Brand 1,Brand 1 Ad Group 2,ASIN392,Walmart,1330,22,7.57,211.96,4,4,2,2,99.98,111.98
154,2021-10-21,Brand 1,Brand 1 Ad Group 4,ASIN395,Walmart,0,0,0.0,0.0,0,0,0,0,0.0,0.0
155,2021-10-21,Brand 1,Brand 1 Ad Group 4,ASIN400,Walmart,11048,48,6.38,0.0,0,0,0,0,0.0,0.0
156,2021-10-21,Brand 1,Brand 1 Ad Group 4,ASIN404,Walmart,0,0,0.0,0.0,0,0,0,0,0.0,0.0
157,2021-10-21,Brand 1,Brand 1 Ad Group 5,ASIN397,Walmart,21,3,1.82,0.0,0,0,0,0,0.0,0.0
158,2021-10-21,Brand 1,Brand 1 Ad Group 7,ASIN401,Walmart,424,4,0.61,37.99,1,1,1,0,37.99,0.0
159,2021-10-21,Brand 1,Brand 1 Ad Group 8,ASIN407,Walmart,97,5,1.6,0.0,0,0,0,0,0.0,0.0
160,2021-10-21,Brand 2,Brand 2 Ad Group 1,ASIN444,Walmart,0,0,0.0,0.0,0,0,0,0,0.0,0.0
161,2021-10-21,Brand 2,Brand 2 Ad Group 1,ASIN447,Walmart,18499,62,46.48,263.97,3,3,2,1,169.98,93.99
162,2021-10-21,Brand 2,Brand 2 Ad Group 1,ASIN450,Walmart,0,0,0.0,0.0,0,0,0,0,0.0,0.0
163,2021-10-21,Brand 2,Brand 2 Ad Group 1,ASIN455,Walmart,0,0,0.0,0.0,0,0,0,0,0.0,0.0
164,2021-10-21,Brand 2,Brand 2 Ad Group 1,ASIN459,Walmart,45549,85,69.94,290.96,4,4,1,3,96.99,193.97
165,2021-10-21,Brand 2,Brand 2 Ad Group 1,ASIN464,Walmart,6579,18,10.37,204.64,2,2,0,2,0.0,204.64
166,2021-10-21,Brand 2,Brand 2 Ad Group 1,ASIN469,Walmart,15585,30,20.63,75.99,1,1,0,1,0.0,75.99
167,2021-10-21,Brand 2,Brand 2 Ad Group 1,ASIN473,Walmart,33452,190,124.98,623.07,17,23,18,5,487.82,135.25
168,2021-10-21,Brand 2,Brand 2 Ad Group 2,ASIN477,Walmart,4,0,0.0,0.0,0,0,0,0,0.0,0.0
169,2021-10-21,Brand 2,Brand 2 Ad Group 2,ASIN481,Walmart,24850,106,102.18,861.8,9,10,0,10,0.0,861.8
170,2021-10-21,Brand 2,Brand 2 Ad Group 2,ASIN484,Walmart,38554,122,98.44,867.93,6,7,1,6,109.99,757.94
171,2021-10-21,Brand 2,Brand 2 Ad Group 2,ASIN488,Walmart,16558,75,48.59,338.98,2,2,1,1,116.99,221.99
172,2021-10-21,Brand 2,Brand 2 Ad Group 2,ASIN492,Walmart,4400,22,16.79,159.98,1,2,0,2,0.0,159.98
173,2021-10-21,Brand 2,Brand 2 Ad Group 2,ASIN496,Walmart,82075,109,72.88,366.95,3,3,1,2,189.99,176.96
174,2021-10-21,Brand 2,Brand 2 Ad Group 2,ASIN502,Walmart,15646,84,76.94,330.96,2,2,1,1,192.99,137.97
175,2021-10-21,Brand 2,Brand 2 Ad Group 2,ASIN507,Walmart,43107,119,89.5,465.93,2,3,0,3,0.0,465.93
176,2021-10-21,Brand 2,Brand 2 Ad Group 3,ASIN511,Walmart,17902,93,41.89,,15,15,11,4,978.89,294.91
177,2021-10-21,Brand 2,Brand 2 Ad Group 3,ASIN515,Walmart,728,0,0.0,0.0,0,0,0,0,0.0,0.0
178,2021-10-21,Brand 2,Brand 2 Ad Group 3,ASIN520,Walmart,40715,30,24.04,211.96,4,4,4,0,211.96,0.0
179,2021-10-21,Brand 2,Brand 2 Ad Group 5,ASIN619,Walmart,7184,13,7.69,0.0,0,0,0,0,0.0,0.0
180,2021-10-22,Brand 1,Brand 1 Ad Group 10,ASIN414,Walmart,74,4,1.32,0.0,0,0,0,0,0.0,0.0
181,2021-10-22,Brand 1,Brand 1 Ad Group 11,ASIN385,Walmart,0,0,0.0,0.0,0,0,0,0,0.0,0.0
182,2021-10-22,Brand 1,Brand 1 Ad Group 11,ASIN391,Walmart,14623,67,14.95,152.97,3,3,1,2,52.99,99.98
183,2021-10-22,Brand 1,Brand 1 Ad Group 13,ASIN395,Walmart,572,4,1.04,26.99,1,1,1,0,26.99,0.0
184,2021-10-22,Brand 1,Brand 1 Ad Group 13,ASIN400,Walmart,479,3,0.56,23.99,1,1,0,1,0.0,23.99
185,2021-10-22,Brand 1,Brand 1 Ad Group 13,ASIN405,Walmart,102,2,0.59,0.0,0,0,0,0,0.0,0.0
186,2021-10-22,Brand 1,Brand 1 Ad Group 13,ASIN410,Walmart,163,0,0.0,0.0,0,0,0,0,0.0,0.0
187,2021-10-22,Brand 1,Brand 1 Ad Group 2,ASIN380,Walmart,1059,18,8.28,104.97,3,3,2,1,82.98,21.99
188,2021-10-22,Brand 1,Brand 1 Ad Group 2,ASIN386,Walmart,4792,49,15.42,384.93,7,7,1,6,54.99,329.94
189,2021-10-22,Brand 1,Brand 1 Ad Group 2,ASIN392,Walmart,1144,13,3.32,42.99,1,1,0,1,0.0,42.99
190,2021-10-22,Brand 1,Brand 1 Ad Group 4,ASIN395,Walmart,0,0,0.0,0.0,0,0,0,0,0.0,0.0
191,2021-10-22,Brand 1,Brand 1 Ad Group 4,ASIN400,Walmart,12040,63,9.48,105.97,3,3,2,1,65.98,39.99
192,2021-10-22,Brand 1,Brand 1 Ad Group 4,ASIN404,Walmart,0,0,0.0,0.0,0,0,0,0,0.0,0.0
193,2021-10-22,Brand 1,Brand 1 Ad Group 5,ASIN397,Walmart,21,9,4.69,0.0,0,0,0,0,0.0,0.0
194,2021-10-22,Brand 1,Brand 1 Ad Group 7,ASIN401,Walmart,98,0,0.0,0.0,0,0,0,0,0.0,0.0
195,2021-10-22,Brand 1,Brand 1 Ad Group 8,ASIN407,Walmart,320,1,0.05,0.0,0,0,0,0,0.0,0.0
196,2021-10-22,Brand 2,Brand 2 Ad Group 1,ASIN444,Walmart,0,0,0.0,0.0,0,0,0,0,0.0,0.0
197,2021-10-22,Brand 2,Brand 2 Ad Group 1,ASIN447,Walmart,38706,78,79.74,656.89,10,11,7,4,475.93,180.96
198,2021-10-22,Brand 2,Brand 2 Ad Group 1,ASIN450,Walmart,38700,59,52.88,783.96,4,4,1,3,266.99,516.97
199,2021-10-22,Brand 2,Brand 2 Ad Group 1,ASIN455,Walmart,0,0,0.0,0.0,0,0,0,0,0.0,0.0
200,2021-10-22,Brand 2,Brand 2 Ad Group 1,ASIN459,Walmart,19203,32,27.18,0.0,0,0,0,0,0.0,0.0
